Finding ID,Source Audit File,Module,Route,Screen,Persona,User Journey,Severity,Original Finding,Root Cause,Fix Decision,Code Files Changed,Test Evidence,Runtime Evidence,Screenshot Path,Status,Notes
CAT-0248,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<p style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-200)', color: 'var(--ds-text-subtlest, var(--cp-ink-3, var(--cp-text-secondary)))' }}>[Chart] Resolution Trend over time</p>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0249,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,<div style={{,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0250,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"height: '100%', minHeight: 400, fontFamily: 'var(--cp-font-body)',",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0251,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div style={{ display: 'flex', flexDirection: 'column', alignItems: 'center', gap: 12 }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0252,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<Loader2 size={32} className=""animate-spin"" style={{ color: 'var(--ds-text-brand)' }} />",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0253,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,<span style={{ fontSize: 'var(--ds-font-size-400)' }}>Loading incident…</span>,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0254,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,<div style={{,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0255,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"height: '100%', minHeight: 400, fontFamily: 'var(--cp-font-body)', gap: 12,",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0256,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<span style={{ fontSize: 'var(--ds-font-size-500)', fontWeight: 600, color: 'var(--ds-text)' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0257,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<span style={{ fontSize: 'var(--ds-font-size-300)', color: 'var(--ds-text-subtle)' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0258,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,<button,"Native button can bypass canonical Button/IconButton focus, density, disabled, and telemetry behavior.",Use canonical Button/IconButton unless documented exception exists.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0259,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,style={{,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0260,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"marginTop: 8, padding: '8px 16px',",Ad-hoc padding fragments spacing rhythm and viewport density.,Use canonical spacing tokens/layout primitives.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0261,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"color: 'var(--cp-bg-elevated)',",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0262,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"border: 'none', borderRadius: 6, fontSize: 'var(--ds-font-size-300)', fontWeight: 500,",Ad-hoc font sizing fragments enterprise typography hierarchy.,Use canonical type scale and module-level tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0263,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"cursor: 'pointer', fontFamily: 'var(--cp-font-body)',",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0264,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div style={{ width: '100%', height: '100%', flex: 1, minHeight: 0, overflow: 'hidden' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0265,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"const pageBg = 'var(--cp-bg-elevated, var(--cp-bg-elevated, var(--cp-bg-elevated)))';",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0266,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"const surfaceBg = 'var(--cp-bg-elevated, var(--cp-bg-elevated, var(--cp-bg-elevated)))';",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0267,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"const textPrimary = 'var(--cp-text-primary, var(--cp-ink-1, var(--cp-ink-1)))';",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0268,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"const textBody = 'var(--cp-ink-2, var(--cp-ink-2, var(--cp-ink-2)))';",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0269,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"const borderColor = 'var(--cp-border-default, rgba(15,23,42,0.12))';",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0270,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div className=""flex-1 overflow-auto"" style={{ backgroundColor: pageBg }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0271,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div className=""p-4 mb-6"" style={{ border: `1px solid ${isDark ? 'var(--ds-background-discovery-bold, rgba(124,58,237,0.25))' : 'var(--ds-background-discovery)'}`, borderRadius: 6, backgroundColor: surfaceBg }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0272,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div className=""shrink-0 rounded-full flex items-center justify-center"" style={{",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0273,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"background: 'linear-gradient(135deg, var(--cp-purple-60), var(--cp-teal-60))',",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0274,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<Sparkles size={18} style={{ color: 'var(--cp-bg-elevated, var(--cp-bg-elevated, var(--cp-bg-elevated)))' }} />",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0275,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<h3 style={{ fontFamily: 'var(--cp-font-heading)', fontSize: 'var(--ds-font-size-400)', fontWeight: 650, color: textPrimary, marginBottom: 4 }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0276,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<p style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-300)', color: textBody, lineHeight: 1.6 }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0277,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div className=""p-4"" style={{ border: `1px solid ${borderColor}`, borderRadius: 6 }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0278,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<h3 className=""flex items-center gap-2 mb-3"" style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-300)', fontWeight: 700, color: textPrimary }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0279,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<span style={{ width: 8, height: 8, borderRadius: '50%', backgroundColor: 'var(--ds-text-danger, var(--cp-danger))', display: 'inline-block' }} />",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0280,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div key={i} className=""p-2.5"" style={{",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0281,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"backgroundColor: 'var(--cp-danger-light)',",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0282,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"border: `1px solid ${'var(--cp-danger-light)'}`,",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0283,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<h4 style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-200)', fontWeight: 650, color: 'var(--cp-danger-text)', marginBottom: 0 }}>{item.title}</h4>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0284,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<p style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-100)', color: 'var(--cp-danger-text)' }}>{item.desc}</p>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0285,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div className=""p-4"" style={{ border: `1px solid ${borderColor}`, borderRadius: 6 }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0286,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<h3 className=""flex items-center gap-2 mb-3"" style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-300)', fontWeight: 700, color: textPrimary }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0287,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<span style={{ width: 8, height: 8, borderRadius: '50%', backgroundColor: 'var(--ds-text-success, var(--cp-success))', display: 'inline-block' }} />",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0288,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div key={i} className=""p-2.5"" style={{",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0289,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"backgroundColor: 'var(--cp-success-light)',",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0290,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"border: `1px solid ${'var(--cp-success-light)'}`,",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0291,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<h4 style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-200)', fontWeight: 650, color: 'var(--cp-success-text)', marginBottom: 0 }}>{item.title}</h4>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0292,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<p style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-100)', color: 'var(--cp-success)' }}>{item.desc}</p>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0293,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div style={{ display: 'flex', alignItems: 'center', justifyContent: 'center', height: '100%' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0294,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,<div style={{,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0295,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div style={{ display: 'flex', alignItems: 'center', justifyContent: 'center', minHeight: '100%', padding: 48 }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0296,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div style={{ display: 'flex', flexDirection: 'column', height: '100%', minHeight: 0, overflow: 'hidden' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0297,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div style={{ flex: 1, minHeight: 0, display: 'flex', flexDirection: 'column' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0298,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,style={{,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0299,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<DialogContent className=""sm:max-w-[760px]"" style={{ borderRadius: 8, padding: 0 }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0300,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<DialogHeader className=""px-6 pt-5 pb-3"" style={{ borderBottom: '0.75px solid var(--ds-shadow-overlay, rgba(15,23,42,0.06))' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0301,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<DialogTitle style={{ fontFamily: 'var(--cp-font-heading)', fontSize: 'var(--ds-font-size-500)', fontWeight: 700 }}>Escalation Committee</DialogTitle>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0302,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div className=""flex items-center gap-1 px-6"" style={{ borderBottom: '0.75px solid var(--ds-shadow-overlay, rgba(15,23,42,0.06))' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0303,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,<button,"Native button can bypass canonical Button/IconButton focus, density, disabled, and telemetry behavior.",Use canonical Button/IconButton unless documented exception exists.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0304,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,style={{,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0305,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-200)',",Ad-hoc font sizing fragments enterprise typography hierarchy.,Use canonical type scale and module-level tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0306,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"color: activeTab === i ? 'var(--ds-text-brand, var(--cp-workstream-catalyst-primary))' : 'var(--ds-text-subtlest, var(--cp-ink-3, var(--cp-text-secondary)))',",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0307,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div className=""px-6 py-4"" style={{ minHeight: 300, maxHeight: 440, overflowY: 'auto' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0308,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<p style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-200)', color: 'var(--ds-text-subtlest, var(--cp-ink-4, var(--cp-border-neutral-light)))' }}>No committee members assigned.</p>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0309,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div key={m.id} className=""flex items-center gap-3 p-2"" style={{ border: `1px solid ${'var(--cp-border-subtle, rgba(15,23,42,0.08))'}`, borderRadius: 4 }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0310,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<div className=""rounded-full flex items-center justify-center shrink-0"" style={{ width: 32, height: 32, backgroundColor: 'var(--cp-bg-sunken, var(--cp-border, var(--cp-bg-sunken)))', fontSize: 'var(--ds-font-size-200)', fontWeight: 650, col",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0311,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<span style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-200)', fontWeight: 650, color: 'var(--fg-1, var(--cp-ink-1, var(--cp-ink-1)))' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0312,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<span className=""px-1.5"" style={{ fontSize: 'var(--ds-font-size-100)', fontWeight: 700, backgroundColor: 'var(--cp-purple-5)', color: 'var(--cp-purple-60, var(--cp-purple-60))', borderRadius: 3 }}>CHAIR</span>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0313,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<span className=""px-1.5"" style={{ fontSize: 'var(--ds-font-size-100)', fontWeight: 700, backgroundColor: 'var(--cp-danger-light)', color: 'var(--cp-danger-text)', borderRadius: 3 }}>VETO</span>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0314,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"<span style={{ fontFamily: 'var(--cp-font-body)', fontSize: 'var(--ds-font-size-100)', color: 'var(--ds-text-subtlest, var(--cp-ink-3, var(--cp-text-secondary)))' }}>{m.role || 'Member'}</span>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0315,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,style={{,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0316,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"fontSize: 'var(--ds-font-size-100)',",Ad-hoc font sizing fragments enterprise typography hierarchy.,Use canonical type scale and module-level tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0317,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"? (v === 'approved' ? 'var(--cp-lozenge-green-bg)' : v === 'rejected' ? 'var(--ds-background-danger)' : 'var(--ds-border, var(--cp-lozenge-grey-bg, var(--cp-border-neutral)))')",Legacy/custom token usage creates design-system drift from Catalyst/ADS.,Replace with canonical `--ds-*` semantic tokens.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
